disposition,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass,sy_dist
CANDIDATE,22.9735,,2.61,,,1.067,,289.569
FALSE POSITIVE,5.6683,,,,3521.0,0.956267,0.471,128.81
CANDIDATE,14.658196,,1.6,,3610.0,0.45,,45.7725
CANDIDATE,14.65835,,1.12,,,0.339,,45.7725
CANDIDATE,6.4349,,2.47,,,1.493,,381.071
CANDIDATE,4.27065,,7.6,,,1.5,,49.5536
CANDIDATE,7.64309,,8.0,,,1.5,,49.5536
CANDIDATE,16.858,,5.6,,5957.0,1.07,,314.232
CANDIDATE,2.167697,,12.14,,,2.489,,715.205
CANDIDATE,19.2299,,1.96,,,0.612,,143.287
CANDIDATE,5.07152,,3.2,,,0.426,,129.055
CANDIDATE,8.1191,,57.0,,6040.0,1.2,,547.751
CANDIDATE,16.235,,11.0,,6040.0,1.2,,547.751
FALSE POSITIVE,24.9922,,36.0,,6040.0,1.2,,547.751
CANDIDATE,4.20773,,1.47,,,0.834,,326.358
CANDIDATE,1.1761477,,19.3,,,2.38,,515.081
CANDIDATE,27.270191,,2.5,,6171.0,1.612,1.275,377.061
CANDIDATE,2.475527,,42.0,,5962.0,1.06,,239.559
CANDIDATE,2.475641,,5.02277659,,5257.0,0.824753,,239.559
CANDIDATE,2.4756313,,2.48,,5239.0,0.81,,239.559
CANDIDATE,2.475573,,2.98,,,0.888,,239.559
CANDIDATE,17.7256773,,15.4613,697.0,6010.0,1.63,,338.491
CANDIDATE,17.7259,,23.4,,,1.752,,338.491
